Time,Source IP,Src Port,Destination IP,Dst Port,Protocol,Service,Size
0.0000,192.168.1.15,54210,8.8.8.8,53,UDP,DNS,74
0.0015,8.8.8.8,53,192.168.1.15,54210,UDP,DNS,142
0.0050,192.168.1.15,44332,142.250.190.46,443,TCP,HTTPS,1460
0.0052,142.250.190.46,443,192.168.1.15,44332,TCP,HTTPS,60
0.0120,192.168.1.15,58900,31.13.71.36,80,TCP,HTTP,512
0.0200,192.168.1.15,,8.8.8.8,,ICMP,Ping,64
0.0250,8.8.8.8,,192.168.1.15,,ICMP,Reply,64
0.0450,192.168.1.20,22,10.0.0.5,55678,TCP,SSH,128
0.0500,10.0.0.5,55678,192.168.1.20,22,TCP,SSH,96
0.0600,0.0.0.0,68,255.255.255.255,67,UDP,DHCP,300
0.0650,192.168.1.1,67,192.168.1.20,68,UDP,DHCP,300
0.1000,192.168.1.50,3389,192.168.1.15,49152,TCP,RDP,1024
0.1200,192.168.1.15,5432,172.16.0.5,3306,TCP,Database,2048
0.1500,192.168.1.15,123,pool.ntp.org,123,UDP,NTP,48
0.1800,192.168.1.100,21,192.168.1.15,50201,TCP,FTP,60
0.2000,192.168.1.15,44332,142.250.190.46,443,TCP,HTTPS,1460
0.2100,192.168.1.15,,1.1.1.1,,ICMP,Ping,64
0.2150,1.1.1.1,,192.168.1.15,,ICMP,Reply,64
0.2500,10.0.0.5,5060,10.0.0.1,5060,UDP,SIP,450
0.2800,192.168.1.15,58902,31.13.71.36,443,TCP,HTTPS,1100
0.3100,192.168.1.15,58902,31.13.71.36,443,TCP,HTTPS,1400
0.3500,192.168.1.20,22,10.0.0.5,55678,TCP,SSH,256
0.3800,192.168.1.1,53,192.168.1.15,54211,UDP,DNS,156
0.4000,192.168.1.15,80,10.0.0.10,54000,TCP,HTTP,1024
0.4200,192.168.1.15,,8.8.4.4,,ICMP,Ping,64
0.4250,8.8.4.4,,192.168.1.15,,ICMP,Reply,64
0.4500,172.16.0.10,443,192.168.1.15,56789,TCP,HTTPS,1460
0.4800,192.168.1.15,56789,172.16.0.10,443,TCP,HTTPS,60
0.5000,192.168.1.15,443,93.184.216.34,443,TCP,HTTPS,1460
0.5200,192.168.1.20,22,10.0.0.5,55678,TCP,SSH,128
0.5500,192.168.1.1,53,192.168.1.15,54212,UDP,DNS,90
0.6000,192.168.1.15,54212,8.8.8.8,53,UDP,DNS,68
0.6500,192.168.1.15,161,192.168.1.1,161,UDP,SNMP,120
0.7000,192.168.1.5,54321,192.168.1.1,53,UDP,DNS,72
0.7500,192.168.1.15,443,157.240.22.35,443,TCP,HTTPS,1460
0.8000,192.168.1.15,,192.168.1.1,,ICMP,Ping,64
0.8050,192.168.1.1,,192.168.1.15,,ICMP,Reply,64
0.8500,192.168.1.15,52000,13.107.4.52,443,TCP,HTTPS,1460
0.9000,192.168.1.15,5432,172.16.0.5,3306,TCP,Database,512
0.9200,10.0.0.5,5060,10.0.0.1,5060,UDP,SIP,400
0.9500,192.168.1.15,123,time.google.com,123,UDP,NTP,48
0.9800,192.168.1.20,22,10.0.0.5,55678,TCP,SSH,512
1.0000,192.168.1.15,58904,31.13.71.36,80,TCP,HTTP,1024
1.0500,31.13.71.36,80,192.168.1.15,58904,TCP,HTTP,1460
1.1000,192.168.1.15,,8.8.8.8,,ICMP,Ping,64
1.1100,192.168.1.15,5353,224.0.0.251,5353,UDP,mDNS,90
1.1500,192.168.1.50,3389,192.168.1.15,49152,TCP,RDP,1460
1.2000,192.168.1.15,54215,8.8.8.8,53,UDP,DNS,82
1.2500,192.168.1.15,443,20.112.52.29,443,TCP,HTTPS,1460
1.3000,192.168.1.1,67,192.168.1.20,68,UDP,DHCP,300
